id,is_correct,internal_signal_score,semantic_entropy,se_normalized,is_normalized,hybrid_0.5_0.5
medquad_4140,False,0.9999381670008441,2.1567415320842556,0.938798642989544,0.9999382224729743,0.969368432731259
medquad_4754,False,0.9962470967532426,2.2779814399222644,0.9915726352650605,0.9962422535863921,0.9939074444257263
medquad_4475,False,0.997123744603054,2.2854516588867786,0.9948243143941508,0.9971200648877341,0.9959721896409424
medquad_2260,False,0.9989472581701458,2.1223601121412647,0.9238329042089025,0.9989459985481979,0.9613894513785501
medquad_2364,False,0.9898875155054303,1.934910498355293,0.842238776941774,0.9898742321598478,0.9160565045508109
medquad_33,False,0.9991290343752759,2.244925420584998,0.9771838243506289,0.9991280159993472,0.9881559201749881
medquad_1289,False,0.9999915712949118,2.2752060275092667,0.9903645380645857,0.9999916976430587,0.9951781178538222
medquad_2916,False,0.08754590295276421,1.9621841811472145,0.8541106197256607,0.08633506835492372,0.47022284404029224
medquad_10487,False,0.9999594276464,2.1664341233446844,0.9430176888914186,0.9999595113347981,0.9714886001131083
medquad_5122,False,0.9804448043979493,2.244969001432665,0.9772027944683,0.9804189890685215,0.9788108917684109
medquad_12610,False,0.9992105473877938,2.291216202905439,0.9973335376931253,0.9992096371926349,0.99827158744288
medquad_11458,False,0.9999655062559186,2.2948256009901957,0.9989046568901039,0.9999655980116011,0.9994351274508525
medquad_10919,False,0.8601971345682322,1.9723362250542387,0.8585296587721588,0.8600117314002492,0.859270695086204
medquad_2912,False,0.6974261318352446,2.0964850712689724,0.9125698701842682,0.6970247055830522,0.8047972878836602
medquad_6651,False,0.9998159518468777,1.9399801516092379,0.8444455242614826,0.9998158451200039,0.9221306846907432
medquad_327,False,0.999857858291299,2.294072810117684,0.9985769778246918,0.9998578071809616,0.9992173925028267
medquad_813,False,0.9999998626479053,2.1890567109878125,0.9528649766931035,1.0000000000000002,0.9764324883465518
medquad_234,False,0.9999922788050651,2.139779109980415,0.9314151440324332,0.9999924060921908,0.965703775062312
medquad_9378,False,0.9996141669340065,2.1646275467725915,0.9422313120311842,0.9996137924063668,0.9709225522187754
medquad_2124,False,0.9919972200738545,2.1379778707238453,0.9306310904290639,0.991986736642753,0.9613089135359085
medquad_177,False,0.9963110963717394,2.067077346811008,0.8997691096833715,0.9963063381425912,0.9480377239129814
medquad_2783,False,0.9999955860114473,2.2814918249628584,0.9931006555046,0.9999957176877634,0.9965481865961817
medquad_7548,False,0.9999342315733951,2.287856442176534,0.9958710820552366,0.9999342818225854,0.997902681938911
medquad_10696,False,0.999663308400011,2.2918042427519043,0.9975895030008235,0.9996629990909351,0.9986262510458793
medquad_8066,False,0.9994195640467527,2.1303311088937997,0.9273025647237265,0.9994189312500406,0.9633607479868835
medquad_9266,False,0.9999095728023818,1.8400468965292571,0.8009460122138105,0.9999095903254496,0.9004278012696301
medquad_2407,False,0.9998289411157991,2.129634405997068,0.9269992999493952,0.9998288516277571,0.9634140757885762
medquad_11268,False,0.9999954398915707,2.2786969759963656,0.9918840978512735,0.9999955713739623,0.9959398346126179
medquad_8825,False,0.9993682921169411,2.0012653633247055,0.8711220975726142,0.9993675912741997,0.9352448444234069
medquad_811,False,0.9999898611736391,2.290910498512351,0.9972004689572025,0.9999899852521823,0.9985952271046924
medquad_6033,False,0.9996758596345132,2.273014018991135,0.9894103882085968,0.9996755669829276,0.9945429775957622
medquad_577,False,0.991637908740193,2.265573472589762,0.9861716251204861,0.991626948445638,0.988899286783062
medquad_2641,False,0.5891377083735119,2.1397551358024676,0.9314047084167654,0.5885925661103125,0.759998637263539
medquad_654,False,0.9999230122396083,2.235164571182368,0.9729350666588535,0.9999230475989529,0.9864290571289032
medquad_2612,True,0.33339396344341665,1.362703278437418,0.5931651844058211,0.3325094084370414,0.46283729642143123
medquad_3828,False,0.9999304704107722,2.1598289790317566,0.9401425643456719,0.9999305156682996,0.9700365400069857
medquad_150,False,0.9999938100181804,2.293763325844695,0.9984422637612834,0.9999939393374702,0.9992181015493768
medquad_1796,False,0.9996940773664831,1.4198241560488032,0.6180290828332407,0.9996938088927336,0.8088614458629871
medquad_4822,False,0.9999720033728858,1.7186215718682811,0.7480913106557028,0.999972103751279,0.8740317072034909
medquad_6995,False,0.9952144868573148,2.1411587792370272,0.9320156942637029,0.9952082732524209,0.9636119837580619
medquad_373,False,0.9989766268864146,2.266468122530801,0.9865610534029686,0.9989754062414378,0.9927682298222031
medquad_4796,False,0.9993572173191599,1.850848201590501,0.8056476653248406,0.9993565017783952,0.9025020835516179
medquad_1524,False,0.9987000255056077,2.1403929705620257,0.9316823487356524,0.9986984377664778,0.965190393251065
medquad_8802,True,0.009564848185408481,0.473129120474294,0.20594631746663625,0.008250520289143177,0.1070984188778897
medquad_13525,False,0.9827727218337966,2.088945365506846,0.9092879444492059,0.982749996022132,0.9460189702356689
medquad_5634,True,0.0021382853731631846,0.4065925822804647,0.1769839170879391,0.0008141012434359034,0.08889900916568749
medquad_1934,False,0.9998908040077714,2.279066883494679,0.9920451132776852,0.9998907966216548,0.99596795494967
medquad_9612,False,0.9998141907755115,2.13428140289089,0.9290220710200116,0.9998140817114152,0.9644180763657133
medquad_2830,False,0.999260610861769,2.2822276760059705,0.993420960905335,0.9992597671088257,0.9963403640070804
